handle,origin,brand,currentTitle,proposedTitle,reason,approvedTitle
"k-series-lean-mount-turbo-manifold","IN-HOUSE","SYPerformance","K SERIES LEAN TOP MOUNT TURBO MANIFOLD","SYPerformance K Series Lean Top Mount Turbo Manifold","was ALL CAPS; brand prefix added",""
"k-series-top-mount-mini-ram-rwd-turbo-manifold","IN-HOUSE","SYPerformance","K Series Top Mount Mini Ram RWD Turbo Manifold","SYPerformance K Series Top Mount Mini Ram RWD Turbo Manifold","brand prefix added",""
"k-series-top-mount-turbo-manifold","IN-HOUSE","SYPerformance","K Series Top Mount Turbo Manifold","SYPerformance K Series Top Mount Turbo Manifold","brand prefix added",""
"k24-timing-chain-kit","RESOLD","honda","K24 Timing Chain Kit","","",""
"k-series-type-s-oil-pump-kit","UNKNOWN","SYPerformance","K Series Type S Oil Pump Kit","","",""
"honda-k-series-water-necks","UNKNOWN","SYPerformance","Honda K Series Water Necks","","",""
"intake-air-temp-weld-in-bung-k-series","IN-HOUSE","SYPerformance","Intake Air Temp Weld in Bung K Series","SYPerformance Intake Air Temp Weld In Bung K Series","brand prefix added",""
"syp-billet-hd-vanjen-clamps","IN-HOUSE","SYPerformance","SYP Billet HD Vanjen Clamps","SYPerformance Billet HD Vanjen Clamps","spelling normalised",""
"k-series-billet-halfshaft","IN-HOUSE","SYPerformance","K Series Billet Halfshaft","SYPerformance K Series Billet Halfshaft","spelling normalised; brand prefix added",""
"scatter-sheild","UNKNOWN","SYPerformance","Scatter Sheild","Scatter Shield","spelling normalised",""
"translab-k-series-vss-block-off","RESOLD","TRANSLAB","TRANSLAB K SERIES VSS BLOCK OFF","Translab K Series VSS Block Off","was ALL CAPS",""
"translab-k-awd-billet-transfer-case-block-off","RESOLD","TRANSLAB","TRANSLAB K-AWD BILLET TRANSFER CASE BLOCK OFF","Translab K-awd Billet Transfer Case Block Off","was ALL CAPS",""
"translab-b-h-series-bottom-countershaft-shim","RESOLD","Translab","Translab B/H series bottom countershaft shim","Translab B/H Series Bottom Countershaft Shim","",""
"translab-billet-b-series-awd-billet-cuff","RESOLD","TRANSLAB","TRANSLAB BILLET B SERIES AWD BILLET CUFF","Translab Billet B Series AWD Billet Cuff","was ALL CAPS",""
"b-awd-sbxm-billet-transfer-case-block-off-plate","RESOLD","TRANSLAB","TRANSLAB B AWD-SBXM billet transfer case block off plate","Translab B Awd-sbxm Billet Transfer Case Block Off Plate","",""
"translab-billet-input-shaft-thrust-tool","RESOLD","Translab","Translab billet input shaft thrust tool","Translab Billet Input Shaft Thrust Tool","",""
"syperformance-honda-k-series-billet-halfshaft-carrier","IN-HOUSE","SYPerformance","SYPerformance Honda K Series Billet Halfshaft Carrier","","spelling normalised",""
"k-series-bearings-kits","RESOLD","honda","K SERIES BEARINGS KITS","K Series Bearings Kits","was ALL CAPS",""
"k-series-seal-kit","RESOLD","honda","K SERIES SEAL KIT","K Series Seal Kit","was ALL CAPS",""
"k-series-dog-5th-gear-sets","RESOLD","BF GEARS","K SERIES DOG 5TH GEAR SETS","K Series Dog 5TH Gear Sets","was ALL CAPS",""
"syp-bseries-billet-halfshaft-carrier-assembly","IN-HOUSE","SYPerformance","SYP Bseries Billet Halfshaft Carrier Assembly","SYPerformance B Series Billet Halfshaft Carrier Assembly","spelling normalised",""
